State,2015,2010,2005,2000
Alabama,16.3,17.2,16.7,13.3
Alaska,9.2,12.5,10,7.6
Arizona,17.2,18.8,15.2,11.7
Arkansas,16.1,15.3,13.8,16.5
California,13.9,16.3,13.2,12.7
Colorado,9.9,12.3,11.4,9.8
Connecticut,9.1,8.6,9.3,7.7
Delaware,11.1,12.2,9.2,8.4
District of Columbia,16.6,19.5,21.3,15.2
Florida,16.2,16,11.1,11
Georgia,18.1,18.8,14.4,12.1
Hawaii,10.9,12.4,8.6,8.9
Idaho,12.3,13.8,9.9,12.5
Illinois,10.9,14.1,11.5,10.7
Indiana,13.5,16.3,12.6,8.5
Iowa,10.4,10.3,11.3,8.3
Kansas,14.2,14.5,12.5,8
Kentucky,19.5,17.7,14.8,12.6
Louisiana,18.6,21.5,18.3,17.2
Maine,12.3,12.6,12.6,10.1
Maryland,9.6,10.9,9.7,7.4
Massachusetts,11.5,10.9,10.1,9.8
Michigan,12.8,15.7,12,9.9
Minnesota,7.8,10.8,8.1,5.7
Mississippi,19.1,22.5,20.1,14.9
Missouri,9.8,15,11.6,9.2
Montana,11.9,14.5,13.8,14.1
Nebraska,10.3,10.2,9.5,8.6
Nevada,13,16.6,10.6,8.8
New Hampshire,7.3,6.5,5.6,4.5
New Jersey,11.2,11.1,6.8,7.3
New Mexico,19.7,18.3,17.9,17.5
New York,14.2,16,14.5,13.9
North Carolina,15.3,17.4,13.1,12.5
North Dakota,10.7,12.6,11.2,10.4
Ohio,13.6,15.4,12.3,10
Oklahoma,14.2,16.3,15.6,14.9
Oregon,11.9,14.3,12,10.9
Pennsylvania,12.3,12.2,11.2,8.6
Rhode Island,11.8,14,12.1,10.2
South Carolina,14.3,16.9,15,11.1
South Dakota,13.9,13.6,11.8,10.7
Tennessee,14.7,16.7,14.9,13.5
Texas,14.7,18.4,16.2,15.5
Utah,9.3,10,9.2,7.6
Vermont,10.7,10.8,7.6,10
Virginia,10.9,10.7,9.2,8.3
Washington,11.4,11.6,10.2,10.8
West Virginia,14.5,16.8,15.4,14.7
Wisconsin,11.4,10.1,10.2,9.3
Wyoming,9.8,9.6,10.6,10.8
