"_","ST","StateFIPS","Population","Deaths","U_C_Rate","_"
"","","","","","",""
"2012-2014, United States","","","","","",""
"Death Rates per 100,000 Population","","","","","",""
"All Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages","","","","","",""
"Annualized Crude Rate for United States: 61.41","","","","","",""
"","","","","","",""
"","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","",""
"* Rates based on 20 or fewer deaths may be unstable.  States with these rates are cross-hatched in the map (see legend above). Such rates have an asterisk.","","","","","",""
"","","","","","",""
"m6914315 created 22DEC16:09:13     downloaded 03NOV19:02:45","","","","","",""
"","","","","","",""
"Types of Rates:    U_C_Rate = Unsmoothed, Crude Rate.","","","","","",""
"","","","","","",""
"","","","","","",""
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC","","","","","",""
"Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","ST","StateFIPS","Population","Deaths","U_C_Rate",""
"","AL","1","14500857","10637","73.3542852",""
"","AK","2","2205072","1788","81.08578767",""
"","AZ","4","19922717","14996","75.27085789",""
"","AR","5","8874434","6806","76.69221496",""
"","CA","6","115296673","53212","46.1522424",""
"","CO","8","15819661","11353","71.76512822",""
"","CT","9","10790380","6123","56.74498952",""
"","DE","10","2777735","1822","65.59301013",""
"","DC","11","1943044","1090","56.09754591",""
"","FL","12","58848865","39804","67.63766812",""
"","GA","13","30011102","17299","57.64200195",""
"","HI","15","4221314","2154","51.0267656",""
"","ID","16","4842897","3389","69.9787751",""
"","IL","17","38644895","20538","53.14544133",""
"","IN","18","19705200","13089","66.4240911",""
"","IA","19","9275402","5849","63.05926147",""
"","KS","20","8685788","5910","68.04218569",""
"","KY","21","13196505","10955","83.01440419",""
"","LA","22","13883704","10792","77.73141807",""
"","ME","23","3987383","2742","68.76690802",""
"","MD","24","17806963","10132","56.89909054",""
"","MA","25","20110111","9656","48.01564745",""
"","MI","26","29692851","19121","64.39597195",""
"","MN","27","16259848","9627","59.20719554",""
"","MS","28","8972422","7273","81.05949542",""
"","MO","29","18133787","13560","74.77754095",""
"","MT","30","3043606","2702","88.77627393",""
"","NE","31","5605959","3231","57.63509865",""
"","NV","32","8385838","5722","68.23408704",""
"","NH","33","3970726","2648","66.68805654",""
"","NJ","34","26725677","12654","47.34772481",""
"","NM","35","6257061","6006","95.9875571",""
"","NY","36","59049047","25678","43.48588386",""
"","NC","37","29541062","19014","64.36464606",""
"","ND","38","2165044","1433","66.18803128",""
"","OH","39","34717069","23902","68.84797792",""
"","OK","40","11548228","10453","90.51605147",""
"","OR","41","11796991","8027","68.04277464",""
"","PA","42","38338548","27000","70.42520233",""
"","RI","44","3161164","2140","67.69658265",""
"","SC","45","14327032","10389","72.51327421",""
"","SD","46","2533189","1843","72.75414507",""
"","TN","47","19501798","15457","79.25935855",""
"","TX","48","79557017","42679","53.64580223",""
"","UT","49","8700883","5711","65.63701638",""
"","VT","50","1879555","1414","75.23057319",""
"","VA","51","24790056","13485","54.39681137",""
"","WA","53","20931597","12732","60.82670137",""
"","WV","54","5560234","5641","101.4525648",""
"","WI","55","17225405","11903","69.10142316",""
"","WY","56","1744269","1505","86.28256307",""
