Cause.Name,State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Suicide,Alabama,555,583,512,514,521,541,535,580,592,604,673,679,654,724,721,715,750,788,836
Suicide,Alaska,96,137,102,132,124,155,131,135,149,169,143,164,143,168,171,167,201,193,200
Suicide,Arizona,766,784,767,886,840,880,945,979,1016,972,1060,1093,1160,1156,1163,1244,1276,1271,1327
Suicide,Arkansas,336,349,382,377,374,361,400,376,402,447,422,447,462,485,516,515,577,555,631
Suicide,California,3077,2969,2831,3228,3397,3368,3206,3334,3602,3775,3823,3913,3996,3893,4025,4214,4167,4294,4312
Suicide,Colorado,574,613,722,727,728,797,800,730,811,803,941,865,913,1052,1007,1083,1093,1168,1181
Suicide,Connecticut,274,304,283,260,272,294,295,292,271,315,316,353,370,368,330,379,384,397,405
Suicide,Delaware,86,82,108,74,94,93,83,91,95,109,107,106,105,125,122,126,122,119,112
Suicide,District of Columbia,30,23,40,31,36,33,33,30,36,43,29,41,37,37,38,52,34,40,47
Suicide,Florida,2029,2086,2314,2338,2297,2389,2347,2440,2587,2740,2858,2789,2880,3002,2928,3035,3205,3143,3227
Suicide,Georgia,873,847,935,909,972,973,924,923,997,981,1134,1133,1157,1168,1212,1295,1317,1409,1451
Suicide,Hawaii,136,137,136,120,131,116,107,120,133,133,175,207,181,190,171,204,201,174,227
Suicide,Idaho,181,167,210,202,217,236,228,222,223,252,304,290,281,297,308,320,359,351,392
Suicide,Illinois,1020,1003,1139,1145,1011,1028,1086,1010,1108,1198,1177,1178,1226,1292,1321,1398,1363,1415,1474
Suicide,Indiana,628,683,715,743,736,704,745,824,790,809,828,864,881,940,944,948,960,1034,1092
Suicide,Iowa,305,289,304,314,352,343,333,334,322,380,361,372,422,383,447,407,433,451,479
Suicide,Kansas,299,325,293,345,347,370,362,379,382,337,382,401,394,502,425,455,477,514,553
Suicide,Kentucky,470,521,495,540,567,560,566,622,649,612,592,631,675,724,701,728,776,756,770
Suicide,Louisiana,518,468,493,499,461,537,505,492,522,532,490,557,573,567,583,679,722,677,720
Suicide,Maine,175,154,161,166,137,171,175,158,191,181,197,186,235,209,245,220,235,226,274
Suicide,Maryland,435,474,454,477,491,500,472,495,518,507,551,502,558,583,569,606,553,586,630
Suicide,Massachusetts,431,387,426,436,433,425,480,450,516,509,530,598,585,604,572,596,642,631,682
Suicide,Michigan,974,974,1051,1106,1029,1098,1108,1139,1131,1180,1169,1263,1221,1261,1295,1354,1410,1364,1457
Suicide,Minnesota,437,440,480,497,497,524,547,554,572,596,584,606,683,656,678,686,730,745,783
Suicide,Mississippi,304,294,328,343,336,350,363,325,396,409,381,388,389,410,388,380,431,383,445
Suicide,Missouri,700,699,725,693,679,715,727,799,808,779,860,856,933,914,960,1017,1052,1133,1151
Suicide,Montana,162,158,175,184,180,175,206,189,196,203,219,227,232,233,243,251,272,267,311
Suicide,Nebraska,177,193,187,201,176,166,187,202,181,191,170,193,193,232,220,251,223,246,275
Suicide,Nevada,404,400,387,423,434,440,480,486,471,528,505,547,516,524,541,573,558,650,627
Suicide,New Hampshire,137,131,167,132,158,133,162,151,158,179,166,196,198,202,185,247,228,244,265
Suicide,New Jersey,563,560,588,553,588,597,536,585,596,615,557,719,689,683,757,786,789,687,795
Suicide,New Mexico,318,327,362,349,343,356,342,352,401,419,376,413,420,442,431,449,500,471,491
Suicide,New York,1196,1132,1253,1228,1169,1187,1189,1326,1396,1409,1417,1547,1658,1708,1687,1700,1652,1679,1696
Suicide,North Carolina,884,971,997,986,955,1027,1009,1106,1077,1162,1174,1174,1213,1286,1284,1352,1406,1373,1521
Suicide,North Dakota,73,68,79,91,81,73,92,90,95,86,90,106,106,105,128,137,124,140,154
Suicide,Ohio,1102,1088,1219,1287,1074,1319,1341,1325,1295,1412,1176,1439,1465,1542,1526,1491,1650,1707,1740
Suicide,Oklahoma,492,497,515,501,476,506,522,537,531,575,567,618,693,670,665,736,790,822,756
Suicide,Oregon,478,493,505,518,592,555,560,579,594,572,644,685,656,724,698,782,762,772,825
Suicide,Pennsylvania,1284,1356,1276,1341,1340,1410,1430,1396,1441,1539,1631,1576,1747,1647,1788,1817,1894,1970,2030
Suicide,Rhode Island,96,75,88,86,84,85,71,90,96,110,118,129,101,105,132,113,127,126,129
Suicide,South Carolina,418,443,467,440,476,482,510,524,530,565,619,637,658,673,696,753,742,815,838
Suicide,South Dakota,103,95,105,94,102,112,121,125,102,124,129,140,128,141,147,141,173,163,191
Suicide,Tennessee,726,730,711,778,762,792,856,874,844,973,947,943,955,978,1030,997,1068,1111,1166
Suicide,Texas,2005,2053,2225,2311,2363,2300,2418,2347,2433,2552,2809,2891,2896,3037,3059,3254,3403,3488,3778
Suicide,Utah,282,298,321,340,336,377,348,362,378,390,449,473,502,550,579,559,630,620,663
Suicide,Vermont,63,77,72,92,83,93,78,81,89,94,87,106,120,87,112,124,103,118,112
Suicide,Virginia,791,768,797,799,808,828,866,876,880,948,963,963,1054,1063,1072,1123,1118,1166,1179
Suicide,Washington,816,727,712,811,803,830,822,809,865,889,921,957,1021,1038,1027,1119,1137,1141,1297
Suicide,West Virginia,229,245,286,276,266,285,255,269,300,261,253,279,306,326,323,359,340,362,393
Suicide,Wisconsin,593,590,639,627,647,662,643,670,729,743,724,793,745,723,850,769,877,866,926
Suicide,Wyoming,98,83,83,105,109,88,90,116,101,124,111,131,132,171,129,120,157,144,157
