"State","suicideRate","suicideNumber","Pop"
"New York","8.1000",1696,19491339
"New Jersey","8.3000",795,8922547
"Massachusetts","9.5000",682,6939373
"Maryland","9.8000",630,6062917
"California","10.5000",4312,39747267
"Connecticut","10.5000",405,3567871
"Illinois","11.2000",1474,12700381
"Delaware","11.6000",112,975033
"Rhode Island","11.8000",129,1056738
"Texas","13.4000",3778,29087070
"Virginia","13.4000",1179,8571946
"Georgia","13.6000",1451,10627767
"Minnesota","13.8000",783,5655925
"Florida",14,3227,21646155
"Michigan","14.1000",1457,10020472
"North Carolina","14.3000",1521,10497741
"Nebraska","14.7000",275,1940919
"Ohio","14.8000",1740,11718568
"Iowa",15,479,3167997
"Mississippi",15,445,2987895
"Pennsylvania",15,2030,12813969
"Hawaii","15.2000",227,1416589
"Louisiana","15.2000",720,4652581
"Wisconsin","15.4000",926,5832661
"Indiana","16.3000",1092,6718616
"South Carolina","16.3000",838,5147111
"Alabama","16.6000",836,4898246
"Tennessee","16.8000",1166,6833793
"Kentucky","16.9000",770,4484047
"Washington","16.9000",1297,7666343
"Arizona","18.2000",1327,7275070
"Vermont","18.3000",112,627180
"Missouri","18.5000",1151,6147861
"Maine","18.9000",274,1342097
"New Hampshire","18.9000",265,1363852
"Oregon",19,825,4245901
"Kansas","19.1000",553,2910931
"Oklahoma","19.1000",756,3948950
"North Dakota","20.1000",154,760900
"Colorado","20.3000",1181,5770545
"Nevada","20.3000",627,3087025
"Arkansas","20.8000",631,3026412
"West Virginia","21.1000",393,1791951
"South Dakota","22.5000",191,892631
"Utah","22.7000",663,3221610
"Idaho","23.2000",392,1790182
"New Mexico","23.3000",491,2096034
"Wyoming","26.9000",157,572381
"Alaska",27,200,735720
"Montana","28.9000",311,1074532
