"","State","Year","Poverty.Rate","Cause.Name","Deaths","Population","Suicide.Rate"
"1","Alabama",2015,16.3,"Suicide",750,4858979,0.0154
"2","Alaska",2015,9.2,"Suicide",201,738432,0.0272
"3","Arizona",2015,17.2,"Suicide",1276,6828065,0.0187
"4","Arkansas",2015,16.1,"Suicide",577,2978204,0.0194
"5","California",2015,13.9,"Suicide",4167,39144818,0.0106
"6","Colorado",2015,9.9,"Suicide",1093,5456574,0.02
"7","Connecticut",2015,9.1,"Suicide",384,3590886,0.0107
"8","Delaware",2015,11.1,"Suicide",122,945934,0.0129
"9","Florida",2015,16.2,"Suicide",3205,20271272,0.0158
"10","Georgia",2015,18.1,"Suicide",1317,10214860,0.0129
"11","Hawaii",2015,10.9,"Suicide",201,1431603,0.014
"12","Idaho",2015,12.3,"Suicide",359,1654930,0.0217
"13","Illinois",2015,10.9,"Suicide",1363,12859995,0.0106
"14","Indiana",2015,13.5,"Suicide",960,6619680,0.0145
"15","Iowa",2015,10.4,"Suicide",433,3123899,0.0139
"16","Kansas",2015,14.2,"Suicide",477,2911641,0.0164
"17","Kentucky",2015,19.5,"Suicide",776,4425092,0.0175
"18","Louisiana",2015,18.6,"Suicide",722,4649676,0.0155
"19","Maine",2015,12.3,"Suicide",235,1329328,0.0177
"20","Maryland",2015,9.6,"Suicide",553,6006401,0.0092
"21","Massachusetts",2015,11.5,"Suicide",642,6794422,0.0094
"22","Michigan",2015,12.8,"Suicide",1410,9922576,0.0142
"23","Minnesota",2015,7.8,"Suicide",730,5489594,0.0133
"24","Mississippi",2015,19.1,"Suicide",431,2992333,0.0144
"25","Missouri",2015,9.8,"Suicide",1052,6083672,0.0173
"26","Montana",2015,11.9,"Suicide",272,1032949,0.0263
"27","Nebraska",2015,10.3,"Suicide",223,1896190,0.0118
"28","Nevada",2015,13,"Suicide",558,2890845,0.0193
"29","New Hampshire",2015,7.3,"Suicide",228,1330608,0.0171
"30","New Jersey",2015,11.2,"Suicide",789,8958013,0.0088
"31","New Mexico",2015,19.7,"Suicide",500,2085109,0.024
"32","New York",2015,14.2,"Suicide",1652,19795791,0.0083
"33","North Carolina",2015,15.3,"Suicide",1406,10042802,0.014
"34","North Dakota",2015,10.7,"Suicide",124,756927,0.0164
"35","Ohio",2015,13.6,"Suicide",1650,11613423,0.0142
"36","Oklahoma",2015,14.2,"Suicide",790,3911338,0.0202
"37","Oregon",2015,11.9,"Suicide",762,4028977,0.0189
"38","Pennsylvania",2015,12.3,"Suicide",1894,12802503,0.0148
"39","Rhode Island",2015,11.8,"Suicide",127,1056298,0.012
"40","South Carolina",2015,14.3,"Suicide",742,4896146,0.0152
"41","South Dakota",2015,13.9,"Suicide",173,858469,0.0202
"42","Tennessee",2015,14.7,"Suicide",1068,6600299,0.0162
"43","Texas",2015,14.7,"Suicide",3403,27469114,0.0124
"44","Utah",2015,9.3,"Suicide",630,2995919,0.021
"45","Vermont",2015,10.7,"Suicide",103,626042,0.0165
"46","Virginia",2015,10.9,"Suicide",1118,8382993,0.0133
"47","Washington",2015,11.4,"Suicide",1137,7170351,0.0159
"48","West Virginia",2015,14.5,"Suicide",340,1844128,0.0184
"49","Wisconsin",2015,11.4,"Suicide",877,5771337,0.0152
"50","Wyoming",2015,9.8,"Suicide",157,586107,0.0268
"51","Alabama",2010,17.2,"Suicide",679,4779735,0.0142
"52","Alaska",2010,12.5,"Suicide",164,710231,0.0231
"53","Arizona",2010,18.8,"Suicide",1093,6329013,0.0173
"54","Arkansas",2010,15.3,"Suicide",447,2915921,0.0153
"55","California",2010,16.3,"Suicide",3913,37253956,0.0105
"56","Colorado",2010,12.3,"Suicide",865,5029196,0.0172
"57","Connecticut",2010,8.6,"Suicide",353,3574097,0.0099
"58","Delaware",2010,12.2,"Suicide",106,897934,0.0118
"59","Florida",2010,16,"Suicide",2789,18801311,0.0148
"60","Georgia",2010,18.8,"Suicide",1133,9687653,0.0117
