"State","Year","rate_sum"
"Alabama",1990,8.22699004975124
"Alabama",1991,9.0818407960199
"Alabama",1992,9.29689054726368
"Alabama",1993,9.18246268656717
"Alabama",1994,7.62213930348259
"Alabama",1995,7.60708955223881
"Alabama",1996,7.23519900497512
"Alabama",1997,6.91753731343284
"Alabama",1998,6.16703980099502
"Alabama",1999,6.62164179104478
"Alabama",2000,5.50348258706468
"Alabama",2001,6.25099502487562
"Alabama",2002,7.02549751243781
"Alabama",2003,7.07524875621891
"Alabama",2004,6.66592039800995
"Alabama",2005,5.18383084577114
"Alabama",2006,4.77437810945274
"Alabama",2007,4.89825870646766
"Alabama",2008,6.97723880597015
"Alabama",2009,13.1661691542289
"Alabama",2010,12.3606965174129
"Alabama",2011,11.2110696517413
"Alabama",2012,9.26057213930348
"Alabama",2013,8.50758706467662
"Alabama",2014,7.91716417910448
"Alabama",2015,7.03308457711443
"Alabama",2016,6.77375621890547
"Arizona",1990,8.28555555555556
"Arizona",1991,8.94055555555556
"Arizona",1992,11.7394444444444
"Arizona",1993,11.4633333333333
"Arizona",1994,11.4488888888889
"Arizona",1995,10.6511111111111
"Arizona",1996,11.6477777777778
"Arizona",1997,9.98444444444444
"Arizona",1998,9.54666666666667
"Arizona",1999,9.25166666666667
"Arizona",2000,6.05055555555556
"Arizona",2001,6.79666666666667
"Arizona",2002,7.80333333333333
"Arizona",2003,7.59722222222222
"Arizona",2004,7.00166666666667
"Arizona",2005,6.59944444444444
"Arizona",2006,5.985
"Arizona",2007,5.42
"Arizona",2008,8.07611111111111
"Arizona",2009,12.91
"Arizona",2010,13.06
"Arizona",2011,12.2194444444444
"Arizona",2012,11.2183333333333
"Arizona",2013,10.7216666666667
"Arizona",2014,9.47055555555556
"Arizona",2015,8.79166666666667
"Arizona",2016,7.73277777777778
"Arkansas",1990,7.64222222222222
"Arkansas",1991,8.295
"Arkansas",1992,7.97088888888889
"Arkansas",1993,6.95733333333333
"Arkansas",1994,6.17677777777778
"Arkansas",1995,5.672
"Arkansas",1996,6.42811111111111
"Arkansas",1997,6.31633333333333
"Arkansas",1998,6.29966666666667
"Arkansas",1999,5.62466666666667
"Arkansas",2000,4.83555555555556
"Arkansas",2001,5.65244444444444
"Arkansas",2002,6.195
"Arkansas",2003,6.736
"Arkansas",2004,6.534
"Arkansas",2005,6.08877777777778
"Arkansas",2006,5.891
"Arkansas",2007,6.04911111111111
"Arkansas",2008,6.21266666666667
"Arkansas",2009,8.66055555555556
"Arkansas",2010,9.10111111111111
"Arkansas",2011,9.30255555555556
"Arkansas",2012,8.53222222222222
"Arkansas",2013,8.305
"Arkansas",2014,6.968
"Arkansas",2015,6.016
"Arkansas",2016,4.65666666666667
"California",1990,8.30344827586207
"California",1991,8.36206896551724
"California",1992,12.0344827586207
"California",1993,12.0109195402299
"California",1994,10.8576149425287
"California",1995,10.6093390804598
"California",1996,9.9264367816092
"California",1997,9.16063218390805
"California",1998,8.76896551724138
"California",1999,7.4992816091954
"California",2000,6.27083333333333
"California",2001,6.62183908045977
"California",2002,7.60344827586207
"California",2003,7.92931034482759
"California",2004,7.52916666666667
"California",2005,6.81882183908046
"California",2006,6.28261494252874
"California",2007,6.7985632183908
"California",2008,8.65416666666667
"California",2009,12.4191091954023
"California",2010,13.893275862069
"California",2011,13.3257053291536
"California",2012,11.6379310344828
"California",2013,10.3836206896552
"California",2014,8.82025862068966
"California",2015,7.56336206896552
"California",2016,6.92021943573668
"Colorado",1990,5.26067708333333
"Colorado",1991,6.050390625
"Colorado",1992,7.47096354166667
"Colorado",1993,6.20924479166667
"Colorado",1994,4.94270833333333
"Colorado",1995,4.819921875
"Colorado",1996,5.227734375
"Colorado",1997,4.52200520833333
"Colorado",1998,4.74908854166667
"Colorado",1999,4.09739583333333
"Colorado",2000,3.298828125
"Colorado",2001,3.90455729166667
"Colorado",2002,5.01744791666667
"Colorado",2003,5.55143229166667
"Colorado",2004,5.20091145833333
"Colorado",2005,4.92473958333333
"Colorado",2006,4.21796875
"Colorado",2007,3.58020833333333
"Colorado",2008,4.62421875
"Colorado",2009,6.5203125
"Colorado",2010,8.60859375
"Colorado",2011,8.276953125
"Colorado",2012,7.88059895833333
"Colorado",2013,7.09309895833333
"Colorado",2014,5.19895833333333
"Colorado",2015,4.02643229166667
"Colorado",2016,3.41614583333333
"Connecticut",1990,5.15104166666667
"Connecticut",1991,6.59166666666667
"Connecticut",1992,7.48333333333333
"Connecticut",1993,6.61354166666667
"Connecticut",1994,5.55208333333333
"Connecticut",1995,5.43020833333333
"Connecticut",1996,5.46041666666667
"Connecticut",1997,5.00208333333333
"Connecticut",1998,3.45
"Connecticut",1999,2.78645833333333
"Connecticut",2000,2.30833333333333
"Connecticut",2001,2.97604166666667
"Connecticut",2002,4.14583333333333
"Connecticut",2003,5.2
"Connecticut",2004,4.8125
"Connecticut",2005,4.759375
"Connecticut",2006,4.25833333333333
"Connecticut",2007,4.38333333333333
"Connecticut",2008,5.53854166666667
"Connecticut",2009,7.721875
"Connecticut",2010,8.890625
"Connecticut",2011,8.55416666666667
"Connecticut",2012,8.13229166666667
"Connecticut",2013,7.55
"Connecticut",2014,6.440625
"Connecticut",2015,5.48958333333333
"Connecticut",2016,5.128125
"Delaware",1990,4.38333333333333
"Delaware",1991,5.91111111111111
"Delaware",1992,5.29722222222222
"Delaware",1993,5.25277777777778
"Delaware",1994,5
"Delaware",1995,4.46388888888889
"Delaware",1996,4.96666666666667
"Delaware",1997,4.07222222222222
"Delaware",1998,3.83055555555556
"Delaware",1999,3.675
"Delaware",2000,3.84722222222222
"Delaware",2001,3.56666666666667
"Delaware",2002,3.94444444444444
"Delaware",2003,4.14722222222222
"Delaware",2004,3.79722222222222
"Delaware",2005,3.93333333333333
"Delaware",2006,3.43055555555556
"Delaware",2007,3.4
"Delaware",2008,4.96666666666667
"Delaware",2009,8.23055555555556
"Delaware",2010,8.56388888888889
"Delaware",2011,7.725
"Delaware",2012,7.40277777777778
"Delaware",2013,6.92777777777778
