"","State","Year","rate_sum","Cause.Name","Deaths","Unemployment.Rate","Suicides"
"1","Alabama",2000,5.50348258706468,"Suicide",583,5.5,583
"2","Alabama",2005,5.18383084577114,"Suicide",535,5.18,535
"3","Alabama",2010,12.3606965174129,"Suicide",679,12.36,679
"4","Alabama",2015,7.03308457711443,"Suicide",750,7.03,750
"5","Arizona",2000,6.05055555555556,"Suicide",784,6.05,784
"6","Arizona",2005,6.59944444444444,"Suicide",945,6.6,945
"7","Arizona",2010,13.06,"Suicide",1093,13.06,1093
"8","Arizona",2015,8.79166666666667,"Suicide",1276,8.79,1276
"9","Arkansas",2000,4.83555555555556,"Suicide",349,4.84,349
"10","Arkansas",2005,6.08877777777778,"Suicide",400,6.09,400
"11","Arkansas",2010,9.10111111111111,"Suicide",447,9.1,447
"12","Arkansas",2015,6.016,"Suicide",577,6.02,577
"13","California",2000,6.27083333333333,"Suicide",2969,6.27,2969
"14","California",2005,6.81882183908046,"Suicide",3206,6.82,3206
"15","California",2010,13.893275862069,"Suicide",3913,13.89,3913
"16","California",2015,7.56336206896552,"Suicide",4167,7.56,4167
"17","Colorado",2000,3.298828125,"Suicide",613,3.3,613
"18","Colorado",2005,4.92473958333333,"Suicide",800,4.92,800
"19","Colorado",2010,8.60859375,"Suicide",865,8.61,865
"20","Colorado",2015,4.02643229166667,"Suicide",1093,4.03,1093
"21","Connecticut",2000,2.30833333333333,"Suicide",304,2.31,304
"22","Connecticut",2005,4.759375,"Suicide",295,4.76,295
"23","Connecticut",2010,8.890625,"Suicide",353,8.89,353
"24","Connecticut",2015,5.48958333333333,"Suicide",384,5.49,384
"25","Delaware",2000,3.84722222222222,"Suicide",82,3.85,82
"26","Delaware",2005,3.93333333333333,"Suicide",83,3.93,83
"27","Delaware",2010,8.56388888888889,"Suicide",106,8.56,106
"28","Delaware",2015,5.04444444444444,"Suicide",122,5.04,122
"29","Hawaii",2000,4.47291666666667,"Suicide",137,4.47,137
"30","Hawaii",2005,2.94166666666667,"Suicide",107,2.94,107
"31","Hawaii",2010,8.27291666666667,"Suicide",207,8.27,207
"32","Hawaii",2015,3.92916666666667,"Suicide",201,3.93,201
"33","Idaho",2000,5.62272727272727,"Suicide",167,5.62,167
"34","Idaho",2005,4.6875,"Suicide",228,4.69,228
"35","Idaho",2010,9.52613636363636,"Suicide",290,9.53,290
"36","Idaho",2015,4.7032196969697,"Suicide",359,4.7,359
"37","Illinois",2000,4.55996732026144,"Suicide",1003,4.56,1003
"38","Illinois",2005,5.44174836601307,"Suicide",1086,5.44,1086
"39","Illinois",2010,9.89517973856209,"Suicide",1178,9.9,1178
"40","Illinois",2015,6.15580065359477,"Suicide",1363,6.16,1363
"41","Indiana",2000,3.32717391304348,"Suicide",683,3.33,683
"42","Indiana",2005,5.70570652173913,"Suicide",745,5.71,745
